Location,Cases
"
North America
","780,689"
"
Europe
","1,056,507"
"
Asia
","368,701"
"
South America
","77,578"
"
Oceania
","8,084"
"
Africa
","21,617"
"

",721
World,"2,313,897"
USA,"728,293"
Spain,"191,726"
Italy,"175,925"
France,"151,793"
Germany,"142,872"
UK,"114,217"
Turkey,"82,329"
Iran,"80,868"
Belgium,"37,183"
Russia,"36,793"
Brazil,"36,599"
Canada,"33,180"
Netherlands,"31,589"
Switzerland,"27,404"
Portugal,"19,685"
India,"14,792"
Ireland,"14,758"
Austria,"14,671"
Peru,"14,420"
Sweden,"13,822"
Israel,"13,265"
S. Korea,"10,653"
Japan,"9,787"
Chile,"9,730"
Ecuador,"9,022"
Poland,"8,742"
Romania,"8,418"
Saudi Arabia,"8,274"
Pakistan,"7,638"
Denmark,"7,242"
Norway,"7,036"
Mexico,"6,875"
Czechia,"6,606"
Australia,"6,565"
UAE,"6,302"
Indonesia,"6,248"
Philippines,"6,087"
Serbia,"5,994"
Singapore,"5,992"
Malaysia,"5,305"
Ukraine,"5,106"
Qatar,"5,008"
Belarus,"4,779"
Dominican Republic,"4,335"
Panama,"4,210"
Finland,"3,681"
Luxembourg,"3,537"
Colombia,"3,439"
South Africa,"3,034"
Egypt,"3,032"
Argentina,"2,758"
Thailand,"2,733"
Morocco,"2,685"
Algeria,"2,534"
Moldova,"2,378"
Greece,"2,235"
Bangladesh,"2,144"
Hungary,"1,834"
Croatia,"1,832"
Bahrain,"1,773"
Iceland,"1,760"
Kuwait,"1,751"
Kazakhstan,"1,615"
Iraq,"1,513"
Estonia,"1,512"
Uzbekistan,"1,490"
New Zealand,"1,422"
Azerbaijan,"1,373"
Slovenia,"1,317"
Bosnia and Herzegovina,"1,268"
Armenia,"1,248"
Lithuania,"1,239"
Oman,"1,180"
North Macedonia,"1,170"
Slovakia,"1,089"
Hong Kong,"1,024"
Cameroon,"1,017"
Cuba,986
Afghanistan,933
Bulgaria,878
Tunisia,864
Ghana,834
Cyprus,761
Ivory Coast,742
Djibouti,732
Diamond Princess,712
Latvia,712
Andorra,704
Lebanon,672
Costa Rica,649
Niger,627
Burkina Faso,565
Albania,548
Guinea,518
Uruguay,508
Kyrgyzstan,506
Bolivia,493
Nigeria,493
Channel Islands,470
Honduras,457
San Marino,455
Malta,426
Palestine,418
Jordan,413
Réunion,407
Taiwan,398
Georgia,388
Senegal,350
Mauritius,325
DRC,307
Montenegro,307
Isle of Man,297
Vietnam,268
Kenya,262
Sri Lanka,254
Mayotte,254
Guatemala,235
Venezuela,227
Mali,216
Paraguay,202
El Salvador,190
Faeroe Islands,184
Jamaica,163
Martinique,158
Tanzania,147
Guadeloupe,145
Rwanda,144
Congo,143
Brunei ,137
Somalia,135
Gibraltar,132
Cambodia,122
Madagascar,120
Trinidad and Tobago,114
Gabon,108
Ethiopia,105
Myanmar,98
Aruba,96
French Guiana,96
Monaco,94
Togo,84
Bermuda,83
Liechtenstein,79
Equatorial Guinea,79
Liberia,76
Barbados,75
Sudan,66
Sint Maarten,64
Guyana,63
Cayman Islands,61
Cabo Verde,58
Zambia,57
French Polynesia,55
Uganda,55
Bahamas,54
Libya,49
Guinea-Bissau,46
Macao,45
Haiti,44
Eritrea,39
Syria,38
Saint Martin,37
Benin,35
Maldives,34
Mozambique,34
Chad,33
Nepal,31
Mongolia,31
Sierra Leone,30
Zimbabwe,24
Angola,24
Antigua and Barbuda,23
Eswatini,22
Laos,19
Belize,18
New Caledonia,18
Timor-Leste,18
Malawi,17
Fiji,17
Dominica,16
Namibia,16
Botswana,15
Saint Lucia,15
Curaçao,14
Grenada,14
Saint Kitts and Nevis,14
CAR,12
St. Vincent Grenadines,12
Turks and Caicos,11
Falkland Islands,11
Greenland,11
Montserrat,11
Seychelles,11
Suriname,10
MS Zaandam,9
Nicaragua,9
Gambia,9
Vatican City,8
Mauritania,7
Papua New Guinea,7
St. Barth,6
Western Sahara,6
Burundi,5
Bhutan,5
British Virgin Islands,4
Sao Tome and Principe,4
South Sudan,4
Anguilla,3
Caribbean Netherlands,3
Saint Pierre Miquelon,1
Yemen,1
China,"82,719"
